Tanggal,"PERTANIAN, KEHUTANAN & PERIKANAN","Pertanian, Peternakan, Perburuan dan Jasa Pertanian",Tanaman Pangan,Tanaman Hortikultura,Tanaman Perkebunan,Peternakan,Jasa Pertanian dan Perburuan,Kehutanan dan Penebangan kayu,Perikanan,PERTAMBANGAN & PENGGALIAN,Pertambangan Minyak dan Gas Bumi,Pertambangan Batubara dan Lignit,"Pertambangan Biji Logam,",Pertambangan dan Penggalian Lainnya,INDUSTRI PENGOLAHAN,Industri Batubara dan Pengilangan Migas,Industri Makanan dan Minuman,Pengolahan Tembakau,Industri Tekstil dan Pakaian Jadi,"Industri Kulit, Barang dari Kulit dan Alas Kaki","Industri Kayu, Barang dari Kayu, Gabus dan Barang Anyaman dari Bambu, Rotan dan sejenisnya","Industri Kertas dan Barang dari kertas, Percetakan dan Reproduksi Media Rekaman","industri Kimia, Farmasi dan Obat Tradisional","Industri Karet, Barang dari Karet dan Plastik",Industri Barang Galian bukan logam,Industri Logam Dasar,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",Industri Mesin dan Perlengkapan,Industri Alat Angkutan,Industri Furnitur,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",PENGADAAN LISTRIK DAN GAS,Ketenagalistrikan,Pengadaan Gas dan Produksi Es,"PENGADAAN AIR, PENGELOLAAN SAMPAH, LIMBAH DAN DAUR ULANG",KONSTRUKSI,"PERDAGANGAN BESAR DAN ECERAN, REPARASI MOBIL DAN MOTOR","Perdagangan Mobil, Sepeda Motor dan Reparasinya","Pedagangan Besar dan Eceran, bukan Mobil dan Sepeda",TRANSPORTASI DAN PERGUDANGAN,Angkutan Rel,Angkutan Darat,Angkutan Laut,"Angkutan Sungai, Danau & Penyeberangan",Angkutan Udara,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",PENYEDIAAN AKOMODASI DAN MAKAN MINUIM,Penyediaan Akomodasi,Penyediaan Makan Minum,INFORMASI DAN KOMUNIKASI,JASA KEUANGAN DAN ASURANSI,Jasa Perantara Keuangan,Asuransi dan Dana Pensiun,Jasa Keuangan lainnya,Jasa Penunjang Keuangan,REAL ESTATE,JASA PERUSAHAAN,"ADMINISTRASI PEMERINTAHAN, PERTAHANAN DAN JAMINAN SOSIAL WAJIB",JASA PENDIDIKAN,JASA KESEHATAN DAN KEGIATAN LAINNYA,JASA LAINNYA,NILAI TAMBAH BRUTO ATAS HARGA DASAR,PAJAK DIKURANG SUBSIDI ATAS PRODUK,PRODUK DOMESTIK BRUTO
01/03/2010,219.048,173.190,74.694,23.732,46.309,25.059,3.396,12.208,33.650,163.642,79.089,33.774,25.340,25.438,369.325,59.487,84.637,15.887,24.668,4.261,14.430,16.516,27.166,17.116,12.474,13.033,31.888,5.164,34.144,4.687,3.770,17.435,14.032,3.403,1.402,142.421,219.839,43.513,176.326,55.625,520,30.774,5.045,1.862,8.283,9.142,47.266,8.127,39.139,59.449,57.755,36.638,12.041,7.740,1.336,46.097,22.663,57.126,42.817,15.194,23.932,1.561.035,42.737,1.603.772
01/06/2010,241.216,190.926,67.316,25.791,68.096,26.104,3.618,15.150,35.141,177.594,84.470,42.550,23.215,27.359,377.765,62.179,87.305,16.943,22.954,4.993,13.981,16.913,29.572,16.720,12.505,13.944,31.590,5.877,33.418,4.832,4.042,18.186,14.799,3.386,1.448,152.231,229.342,44.895,184.447,59.366,603,32.710,5.442,1.895,8.909,9.807,49.238,8.775,40.463,62.422,60.021,37.947,12.605,8.034,1.435,48.160,23.947,67.870,50.313,16.474,24.792,1.660.383,44.127,1.704.510
01/09/2010,273.687,220.936,67.142,33.437,88.406,28.125,3.827,15.505,37.246,183.944,83.928,42.588,28.353,29.076,379.909,54.720,93.999,17.559,23.963,4.881,14.159,16.943,28.431,16.630,12.674,13.648,33.594,6.347,33.258,5.118,3.985,18.298,14.913,3.384,1.477,163.241,236.172,46.464,189.707,64.047,635,35.642,5.544,2.144,10.006,10.075,51.304,9.238,42.066,65.892,60.446,37.505,13.130,8.339,1.472,51.069,25.686,66.386,53.634,17.326,25.723,1.738.239,47.958,1.786.197
01/12/2010,222.169,169.383,44.175,27.435,65.397,29.112,3.264,15.263,37.523,192.949,88.683,41.821,32.336,30.109,385.762,57.437,94.502,16.861,24.722,5.563,14.205,17.613,29.164,16.298,13.296,13.847,33.679,6.380,33.441,5.432,3.324,18.631,15.122,3.509,1.522,169.013,238.571,47.268,191.303,66.338,616,36.359,5.685,2.212,11.107,10.358,52.475,9.625,42.850,68.285,61.507,37.753,13.634,8.589,1.530,52.887,26.790,68.264,54.795,17.451,26.614,1.724.023,45.631,1.769.655
01/03/2011,247.379,197.521,93.259,18.281,54.553,27.515,3.914,12.628,37.229,213.970,100.236,58.336,26.377,29.021,399.405,62.202,96.681,16.214,26.490,5.324,14.468,17.956,29.515,17.105,13.685,15.424,33.663,5.809,35.812,5.147,3.910,21.273,16.767,4.507,1.521,168.408,246.153,49.890,196.264,66.099,587,36.457,5.696,2.159,10.345,10.856,53.362,9.130,44.232,68.841,66.293,41.572,14.154,9.009,1.559,53.484,27.219,66.610,49.989,17.524,27.405,1.794.935,39.421,1.834.355
01/06/2011,267.489,211.812,65.849,34.809,78.881,28.388,3.886,16.024,39.653,222.329,111.669,54.590,25.701,30.369,422.679,75.446,99.884,17.497,27.283,5.729,13.508,18.865,30.760,18.841,13.925,15.445,35.737,6.172,34.035,5.328,4.225,22.524,17.945,4.579,1.540,175.496,265.463,49.076,216.387,68.123,612,36.849,5.997,2.206,11.268,11.191,54.880,9.714,45.167,68.709,68.899,43.569,14.449,9.233,1.649,54.139,27.827,71.084,54.165,18.358,27.901,1.891.604,36.629,1.928.233
01/09/2011,301.824,241.605,68.263,38.668,100.617,29.886,4.171,16.624,43.595,235.533,114.445,62.574,27.154,31.360,441.447,76.650,106.742,18.730,27.078,5.540,14.610,18.387,31.529,17.838,14.074,15.779,36.487,5.869,42.537,5.649,3.948,23.564,18.768,4.796,1.560,179.996,279.335,54.294,225.040,71.556,601,38.329,6.208,2.373,12.539,11.507,57.098,10.624,46.473,70.810,68.212,42.035,14.892,9.599,1.687,55.161,29.029,86.859,64.142,20.137,28.506,2.014.768,38.977,2.053.745
01/12/2011,241.553,181.575,43.607,33.530,69.351,31.468,3.620,16.971,43.007,252.981,117.718,77.525,25.052,32.686,440.720,69.801,107.081,19.294,27.341,5.452,16.915,20.100,32.913,18.223,13.923,16.199,36.173,5.526,42.479,5.860,3.441,24.360,19.336,5.024,1.587,188.285,275.141,55.684,219.457,70.346,609,36.427,6.182,2.465,12.878,11.785,58.876,11.635,47.241,73.418,67.183,40.281,15.265,9.921,1.716,56.013,29.900,80.202,64.431,20.387,29.210,1.974.592,40.800,2.015.393
01/03/2012,275.143,218.475,102.997,21.706,58.533,30.766,4.474,14.132,42.536,267.666,129.657,78.268,27.914,31.827,444.727,75.731,105.557,19.079,27.513,5.503,14.410,18.998,34.200,19.798,14.796,15.340,37.348,6.800,39.874,5.708,4.074,23.372,18.300,5.073,1.621,184.310,271.493,56.504,214.990,73.659,629,39.017,6.344,2.369,13.049,12.250,60.160,11.611,48.550,75.274,74.703,46.826,15.787,10.303,1.788,57.079,30.577,75.410,58.982,19.886,29.785,2.023.848,37.490,2.061.338
01/06/2012,292.971,231.566,76.435,34.267,85.173,31.334,4.357,16.880,44.525,255.807,127.530,71.662,23.315,33.301,458.155,74.433,111.673,20.808,29.255,5.449,14.371,18.274,34.974,20.736,15.772,15.506,40.249,6.377,40.861,5.456,3.960,23.605,18.613,4.993,1.643,197.307,286.248,55.765,230.484,76.171,674,39.330,6.685,2.397,14.192,12.891,61.856,12.367,49.489,76.137,78.764,50.503,15.999,10.424,1.839,58.411,31.351,95.967,70.866,21.609,30.274,2.117.140,44.897,2.162.037
01/09/2012,327.919,263.333,81.652,35.675,107.376,33.744,4.886,16.462,48.124,240.440,120.123,60.619,24.892,34.806,469.111,73.596,120.266,20.532,29.581,5.290,15.496,18.237,36.040,18.413,16.182,16.782,41.452,6.151,41.409,5.650,4.036,24.188,18.103,6.085,1.658,208.427,293.973,57.059,236.914,82.036,731,41.439,6.855,2.518,16.883,13.610,63.807,12.785,51.022,79.071,83.097,53.481,16.849,10.854,1.913,60.529,32.597,84.363,66.979,21.580,30.993,2.170.765,52.877,2.223.642
01/12/2012,256.230,188.752,44.587,33.460,72.281,34.771,3.654,18.408,49.069,236.395,115.585,59.971,24.723,36.116,476.158,74.643,120.278,18.921,30.210,5.445,16.352,18.156,38.247,17.479,16.278,16.929,43.922,5.505,44.247,5.672,3.878,24.472,18.335,6.138,1.681,215.164,286.770,59.340,227.431,81.291,749,39.439,6.731,2.495,18.076,13.801,66.789,14.289,52.500,80.881,83.970,53.670,17.247,11.107,1.946,61.894,33.200,84.829,73.545,23.161,31.515,2.117.946,50.742,2.168.688
01/03/2013,297.420,233.994,105.328,25.779,64.154,34.061,4.673,14.772,48.654,259.388,127.203,77.460,20.194,34.531,482.242,78.011,114.161,19.459,30.704,5.541,16.200,19.032,37.840,18.891,16.437,18.083,45.592,5.869,46.813,5.822,3.789,24.133,18.375,5.758,1.749,202.989,290.600,61.865,228.735,83.629,724,43.125,6.776,2.481,16.570,13.953,68.749,14.644,54.104,82.696,88.342,56.925,17.896,11.474,2.047,63.542,34.691,81.216,68.594,22.045,33.160,2.185.183,50.105,2.235.289
01/06/2013,323.510,255.056,80.025,40.837,94.520,35.019,4.656,17.613,50.841,246.502,119.413,68.820,22.181,36.088,498.085,76.688,122.798,20.247,32.578,5.915,16.900,18.995,38.088,18.774,17.204,18.660,47.191,5.754,48.137,6.169,3.987,24.217,18.220,5.997,1.767,220.226,315.139,63.779,251.360,88.366,818,44.287,7.347,2.529,18.103,15.282,70.712,15.708,55.004,84.055,90.822,58.633,18.398,11.668,2.123,64.991,35.549,91.690,72.068,22.989,33.992,2.284.680,57.910,2.342.590
01/09/2013,363.818,291.453,93.704,38.278,115.457,38.635,5.379,18.139,54.226,265.654,133.135,66.553,27.456,38.510,505.277,77.235,126.064,20.611,32.960,6.406,16.593,18.088,40.154,19.036,17.759,18.395,46.658,6.535,48.213,6.334,4.238,23.844,18.409,5.435,1.832,233.962,327.903,65.513,262.389,100.126,813,51.460,7.934,3.032,20.396,16.491,73.531,15.973,57.558,86.248,96.920,62.592,19.673,12.433,2.222,67.110,36.945,101.164,79.414,24.701,35.829,2.424.276,66.882,2.491.159
01/12/2013,290.301,214.275,53.055,32.475,84.042,40.268,4.436,19.075,56.950,279.203,140.337,69.361,28.637,40.868,521.824,82.282,128.120,22.368,33.670,6.948,17.265,18.205,40.961,19.766,18.001,19.357,46.753,7.347,49.606,6.606,4.570,26.493,19.354,7.139,1.861,248.813,327.505,67.785,259.720,103.185,787,51.329,8.005,3.123,22.653,17.289,76.507,17.164,59.343,88.011,94.047,59.020,20.038,12.703,2.287,68.632,37.419,98.126,87.786,27.146,37.335,2.414.192,62.905,2.477.098
01/03/2014,337.477,264.847,106.878,37.901,75.886,38.936,5.247,16.228,56.401,263.560,137.857,64.509,19.325,41.869,532.737,84.149,129.568,22.882,33.655,6.826,18.410,20.200,43.422,20.911,17.830,19.133,46.514,8.194,49.698,6.781,4.565,26.924,19.744,7.180,1.910,240.355,334.288,71.650,262.638,103.395,912,52.155,8.204,3.073,21.534,17.518,77.977,17.296,60.681,89.411,97.790,61.412,20.826,13.193,2.359,70.413,39.721,90.073,76.497,24.754,38.740,2.446.020,60.280,2.506.300
01/06/2014,360.435,281.886,85.067,42.899,109.062,39.742,5.116,19.461,59.089,260.869,135.564,58.504,24.056,42.745,555.282,83.919,141.857,23.865,35.371,7.116,19.067,21.746,44.331,19.981,18.611,20.195,48.213,8.305,51.001,7.054,4.650,30.161,21.494,8.667,1.939,253.739,356.264,73.699,282.565,112.134,1.004,53.597,8.804,3.166,26.271,19.292,79.825,18.585,61.240,91.506,102.033,64.783,21.352,13.495,2.404,72.081,40.478,93.999,79.003,26.080,39.665,2.555.492,63.456,2.618.947
01/09/2014,394.583,312.497,97.087,43.025,123.967,42.702,5.716,19.393,62.693,266.709,129.814,66.218,26.734,43.944,563.832,85.135,144.906,24.173,35.049,7.133,19.079,21.429,44.498,20.035,19.460,20.872,50.417,8.238,51.725,7.095,4.589,27.839,20.960,6.879,1.970,265.324,366.887,72.922,293.966,121.403,1.133,57.228,9.682,3.357,29.375,20.629,80.793,18.808,61.986,93.169,102.879,64.319,22.105,13.972,2.483,74.461,42.059,111.464,89.308,28.347,41.170,2.672.196,74.566,2.746.762
01/12/2014,317.162,230.320,54.220,36.744,89.346,45.628,4.382,19.536,67.306,248.285,106.549,70.535,23.501,47.700,575.733,83.998,145.686,24.748,34.956,7.525,19.517,20.997,47.786,19.337,20.951,21.919,52.937,8.342,54.978,7.188,4.869,29.981,21.953,8.029,2.022,282.531,361.800,74.569,287.231,130.037,1.180,62.902,9.386,3.541,31.612,21.417,82.467,19.566,62.901,95.372,105.738,65.516,23.054,14.585,2.583,77.618,43.733,109.094,97.010,29.966,43.975,2.632.524,65.171,2.697.695
01/03/2015,373.325,287.931,115.838,41.080,81.393,44.005,5.614,17.802,67.591,227.523,96.984,62.763,19.249,48.527,579.828,80.290,149.544,24.565,34.705,7.356,19.433,21.502,52.218,20.411,19.874,22.014,53.400,8.322,53.766,7.492,4.935,29.429,22.230,7.199,2.058,273.054,363.094,75.722,287.372,132.577,1.311,67.354,9.142,3.435,30.405,20.931,82.644,19.044,63.600,97.645,110.846,69.199,23.793,15.186,2.668,79.797,45.469,99.646,84.344,28.368,45.476,2.655.121,73.060,2.728.181
01/06/2015,409.907,318.123,109.461,46.697,111.205,44.864,5.897,22.447,69.338,228.468,106.547,56.596,20.295,45.030,602.876,79.098,163.022,26.637,35.068,7.838,19.479,22.194,51.355,22.236,20.851,23.112,56.473,9.023,53.236,8.055,5.198,32.892,25.611,7.281,2.141,282.761,381.908,76.091,305.817,139.950,1.620,69.141,9.718,3.450,33.524,22.499,84.557,19.957,64.600,100.100,110.051,67.380,24.370,15.587,2.714,81.270,46.681,108.687,94.391,30.116,46.789,2.783.544,84.404,2.867.948
01/09/2015,433.272,338.987,112.578,47.552,124.737,47.758,6.363,20.875,73.410,217.356,92.715,56.917,17.891,49.835,615.005,80.867,166.659,28.118,34.841,7.798,19.111,22.149,53.627,22.070,20.795,22.349,57.335,9.901,56.147,7.939,5.302,32.592,25.562,7.030,2.156,299.389,394.050,78.958,315.092,152.119,1.820,72.058,10.037,3.707,39.676,24.821,86.189,20.485,65.704,103.339,119.328,75.271,25.149,16.137,2.771,82.682,48.496,118.103,100.735,31.283,48.546,2.884.640,106.005,2.990.645
01/12/2015,338.703,238.927,59.532,39.124,87.956,47.525,4.790,21.198,78.578,208.347,88.270,53.699,16.830,49.548,621.183,80.591,167.848,29.332,34.780,8.449,19.970,21.916,52.588,21.234,21.851,22.684,59.471,10.041,57.362,7.854,5.214,34.922,27.243,7.679,2.191,321.881,393.826,80.836,312.990,153.818,1.826,72.527,10.411,3.676,40.060,25.318,88.166,21.305,66.862,104.933,124.175,79.093,25.730,16.555,2.797,83.853,49.622,122.947,108.142,33.424,49.770,2.839.901,99.658,2.939.559
01/03/2016,395.458,300.451,117.365,43.188,85.682,48.298,5.917,18.921,76.087,203.805,80.664,51.055,16.861,55.226,617.397,74.112,171.183,27.587,35.604,8.563,20.539,21.426,53.242,19.574,21.644,23.091,59.877,9.976,57.920,7.876,5.186,32.148,24.792,7.356,2.177,306.119,393.073,81.830,311.243,149.872,1.729,73.315,9.490,3.421,38.111,23.806,88.503,20.892,67.611,106.343,124.958,78.740,26.069,17.332,2.817,86.267,51.360,111.395,94.403,31.541,50.925,2.845.744,83.525,2.929.269
